국가,이전,현재,단위
스위스,85685,88224,USD
싱가포르,58982,66176,USD
미국,58060,61280,USD
호주,58030,58780,USD
네덜란드,46345,48424,USD
연합 왕국,43166,46209,USD
캐나다,42259,43946,USD
독일,41315,42527,USD
프랑스,35786,38210,USD
유럽​​ 지역,34476,36352,USD
일본,34556,35278,USD
대한민국,31327,32645,USD
이탈리아,29358,31512,USD
스페인,24939,26239,USD
사우디 아라비아,18700,19018,USD
터키,12039,13251,USD
아르헨티나,11344,12391,USD
중국,10358,11188,USD
러시아,9711,10220,USD
멕시코,8923,9255,USD
브라질,8229,8551,USD
남아프리카 공화국,5659,5865,USD
인도네시아,3757,3856,USD
인도,1818,1961,USD
